k,diameter,covers,sec_radius,n_vertices,area,helper_in_wedges
309,55.795772600608004,1,27.897886300304002,4,274.3466697575968,1
310,91.55427768888273,1,45.77713884444137,4,858.2204887072585,1
311,135.7926983942573,1,67.89634919712864,4,3024.127428760563,1
312,235.5171559425217,1,117.75857797126085,4,3354.4649522435357,1
313,669.4841430939825,1,334.74207154699127,5,15680.318012993346,1
314,166.30085068597438,1,83.15042534298719,4,3146.530246065842,1
315,577.7754318192742,1,288.8877159096371,4,9741.785082414375,1
316,33.3059458394935,1,16.65297291974675,4,174.71026713994343,1
317,1349.6044079281985,1,674.8022039640992,4,24124.65395960115,0
318,112.61868847714447,1,56.30934423857224,4,1966.2791269904847,1
319,218.38409268885925,0,109.31109681360374,3,3822.6045450347883,1
320,119.15008425885058,1,59.57504212942529,4,1414.3828148178145,1
321,340.56103334516683,1,170.28051667258342,5,8821.655564811372,1
322,615.1629262460974,1,307.5814631230487,5,13044.532893794094,1
323,116.40688373213578,1,58.20344186606789,4,1180.4139785671578,1
324,29.790098213319933,1,14.895049106659966,4,315.552300687973,1
325,130.84059732774477,1,65.42029866387239,4,1192.6037564623439,1
326,373.02364519612854,1,186.51182259806427,4,7508.126189382514,1
327,436.8030772458936,1,218.4015386229468,4,5991.578729381508,1
328,350.05449507768634,1,175.02724753884317,4,3072.00455794303,1
329,357.89741601270396,1,178.94870800635198,4,5335.488020315795,1
330,50.31718200876511,1,25.158591004382554,4,164.450350948704,1
331,14.281113419969031,1,7.140556709984516,4,73.16549768677442,1
332,51.58434606663179,1,25.792173033315894,4,490.5742130215003,1
333,52.255887965474344,1,26.127943982737172,4,571.9028384772537,1
334,284.66403630767553,1,142.33201815383777,4,4680.558596242408,1
335,52.85166988719774,1,26.42583494359887,4,584.4271094945134,1
336,253.3314631980111,1,126.66573159900555,4,4642.526239198021,1
337,147.18140149629937,1,73.59070074814969,4,2478.3541947855847,1
338,54.498745477565485,1,27.249372738782743,4,315.97649671098134,1
339,308.8876889007693,1,154.44384445038466,5,6785.8133672823315,1
340,734.1965754995872,0,367.10255696204536,5,13491.42679051311,1
341,467.9620555286706,1,233.9810277643353,5,11859.404914243583,1
342,636.4695261832311,1,318.23476309161555,5,11215.499422063975,1
343,165.07411678575485,1,82.53705839287743,4,2254.0160928918194,1
344,54.61578404778462,1,27.30789202389231,4,515.494453569394,1
345,139.58241897636765,1,69.79120948818382,4,1850.8462778646644,1
346,109.84038885297251,1,54.920194426486255,4,1637.6544720752863,1
347,672.6187450023463,0,336.3371623110612,5,10538.596576441181,1
348,19.5041443227249,1,9.75207216136245,4,121.3069754367134,1
349,398.8742614933524,1,199.4371307466762,5,6187.271918675047,1
350,655.2152264832291,1,327.60761324161456,5,15765.532822402602,1
351,113.62338362231395,1,56.811691811156976,6,2626.3415926743764,1
352,621.2565441466772,1,310.6282720733386,4,8214.161626310568,1
353,103.06655847756329,1,51.533279238781645,4,829.6402101769722,1
354,42.74617245949418,1,21.37308622974709,4,308.3152490147477,1
355,50.597388986603676,1,25.298694493301838,4,335.5686096511199,1
356,96.52131210620607,1,48.260656053103034,4,879.8019229137863,1
357,219.11902367341148,1,109.55951183670574,4,2270.169415726832,1
358,315.41370236786594,1,157.70685118393297,4,6160.610843876915,1
359,287.0043688328931,1,143.50218441644654,4,4390.39182838882,1
360,489.8376992178804,1,244.9188496089402,4,6519.664802257525,1
361,446.29005695121765,1,223.14502847560883,5,10941.16194951578,1
362,163.77551279305914,1,81.88775639652957,3,1629.2587292130338,1
363,90.51996967738755,1,45.259984838693775,4,429.8366459374229,1
364,351.96834033050254,1,175.98417016525127,4,6488.8379200237105,1
365,175.63278919732045,1,87.81639459866022,4,3323.521715484094,1
366,828.1314148068471,1,414.0657074034236,5,16544.96224517189,0
367,54.127493236376345,1,27.063746618188173,4,681.0922504246555,1
368,432.246080986886,1,216.123040493443,4,7422.706916935858,1
369,1340.9679555959985,0,670.4842619222958,5,12261.655484015326,0
370,91.61998078516889,1,45.809990392584446,4,1537.8447486523655,1
371,195.503710277163,1,97.7518551385815,4,1621.7918081641728,1
372,110.90165483108224,1,55.45082741554112,4,1786.7011743226176,1
373,1126.7565125772621,1,563.3782562886311,5,16031.809438330878,1
374,79.85622928967433,1,39.928114644837166,4,409.80539529273665,1
375,794.0012642347048,1,397.0006321173524,4,5882.617787764888,1
376,1209.9804459554778,1,604.9902229777389,5,20308.13884126371,0
377,24.74884370755636,1,12.37442185377818,4,160.31496204876566,1
378,825.2036825361113,0,412.60197267576206,5,20083.47262759677,1
379,108.39025520213262,1,54.19512760106631,4,2111.8839604510576,1
380,411.1421246460224,1,205.5710623230112,4,7061.444022355743,1
381,44.8114145750242,1,22.4057072875121,4,460.01070425145735,1
382,266.27781796330333,1,133.13890898165167,4,3674.471289450379,1
383,187.93715203910588,1,93.96857601955294,4,3013.68377891773,1
384,55.958502862753996,1,27.979251431376998,4,624.8674999272407,1
385,121.3055410799052,1,60.6527705399526,4,682.3100470930267,1
386,116.87449299169256,1,58.43724649584628,4,2015.8151188961638,1
387,260.6471880066721,1,130.32359400333604,4,4287.364007774329,1
388,52.18420507689299,1,26.092102538446493,4,452.5038500090086,1
389,1047.742446462161,1,523.8712232310805,4,10251.405942549995,1
390,102.80176547737638,1,51.40088273868819,4,1763.140147046377,1
391,304.39220755288176,1,152.19610377644088,4,2055.7594732435573,1
392,46.41914851791442,1,23.20957425895721,4,450.96704523803055,1
393,193.94738857935235,1,96.97369428967617,4,2439.2747764018277,1
394,30.932261612706693,1,15.466130806353346,4,231.37575974030642,1
395,280.0847745332164,1,140.0423872666082,4,4192.176566037204,1
396,32.1732970433271,1,16.08664852166355,4,244.52303838610896,1
397,94.42987676521065,1,47.214938382605325,4,824.609691646292,1
398,952.184578936945,0,476.16632000291736,4,24094.404603326955,0
399,48.92441020220309,1,24.462205101101546,4,498.3862065744761,1
